zcr,chroma_stft,spectral_contrast,tonnetz,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,label
0.0698642789763931,0.24948631,23.93813790792586,0.0065537817665451,73.828125,-259.8296,123.20836,-6.4112997,37.575974,-2.9846904,13.062033,-14.09377,5.3069134,-11.979528,3.5143046,-9.639545,5.340486,-7.8407803,3.2650988,-0.5539106,2.8862455,-0.029540827,2.1029868,1.1109307,2.933883,jazz
0.0502430824303405,0.34938735,22.795767595202253,-0.0291801106929307,172.265625,-229.4689,157.31282,-16.762049,31.879862,-0.11036961,16.656445,1.3551719,12.223306,-3.8625054,6.8392315,-4.2632265,1.337568,-5.8956637,-4.034212,-5.2549577,-4.548437,-6.8075137,-4.4060035,-4.17981,-6.349776,country
0.0543341385690789,0.34322384,22.556862498255704,-0.0029438447335675,117.45383522727272,-169.74,119.115036,7.1710987,53.430897,4.141932,23.13069,-5.7138543,24.995337,-9.326624,13.470993,-14.286962,5.954391,-13.598769,0.7701722,-10.468752,0.080466844,-4.372727,1.1727649,0.4874291,-5.829122,rock
0.047768796560565,0.17176989,26.10804545206113,0.0402555772364158,64.599609375,-270.312,137.55493,5.622032,42.5081,-7.959412,9.935899,-6.8239927,8.244322,-6.188955,5.469562,-5.445732,-5.178623,-6.994632,-3.2311838,-2.0175724,4.4062123,1.99304,4.9886174,6.586949,-2.418629,jazz
0.0753657574255031,0.27042797,20.049382871376515,0.110025680018186,117.45383522727272,-294.19385,84.66457,39.07789,28.63521,14.131192,1.0344223,7.3534536,5.217076,-3.739166,-5.041574,2.2247612,-0.56659275,4.2180734,0.12858449,0.8307335,-2.1461122,-4.497451,-1.0901141,7.2270007,-0.2439366,jazz
0.0886033946884675,0.41778487,17.54598595239055,-0.008091936207626,95.703125,-140.14876,77.06105,42.029648,31.239227,12.191809,10.215243,3.7374847,8.286639,-1.5532026,-1.7558184,3.6267605,4.5898585,-2.5492668,1.8537718,-2.7621264,-3.623143,-2.6331491,-1.5240896,-2.6590376,-5.086118,hiphop
0.059818988244969,0.31836504,20.61082561349475,0.0006524163492112,89.10290948275862,-169.19261,132.80664,-13.484966,31.182266,6.3355885,-3.7656243,-2.057463,-3.6175504,-4.556713,1.2857978,-6.986225,-7.255015,-1.3873173,-9.508183,-5.418511,-1.9065212,-7.168161,-1.4283392,0.15933105,-4.114242,country
0.1487398413312693,0.35769865,17.16764221853058,-0.0554875896013648,95.703125,-18.171194,72.29644,-4.867231,-0.35958102,1.6975715,-0.9182093,-1.3221729,-0.3419729,0.64732283,-0.1809803,-1.2175112,-1.0574641,2.5195053,1.2472867,1.7523707,-3.442979,0.39454004,-0.85250145,0.9242999,1.6602957,pop
0.0609996311435758,0.3805537,19.81161906895386,0.0077367540848865,172.265625,-136.78912,75.5919,-5.33347,23.440128,0.7612743,12.292593,4.4802775,5.1578503,-0.07490854,9.033965,4.902392,2.3301923,5.4751735,0.6624333,1.4746833,3.8372912,-1.5902513,-1.720957,-4.443439,-9.697896,reggae
0.0852647905379257,0.3215302,19.57390002697554,-0.0137256136418343,129.19921875,-93.35921,137.46544,-45.092747,37.819134,-9.42307,12.5912695,-7.4945707,5.5483747,-3.7386365,-2.014053,-2.458912,-9.575428,-3.1775432,-5.571349,-7.5064034,-5.6773906,-2.0041285,-3.871002,-6.2181416,-8.103474,rock
